
Total loss decreased from inf to 3.1500281090114157 in epoch 1/50 in training, saving weights
Total loss decreased from 0.3843736026986934 to 0.35500695754326 in epoch 6/3000 in validation, saving weights
Total loss decreased from 0.3098042647527359 to 0.2871321761946953 in epoch 7/3000 in training, saving weights
Total loss decreased from 0.2871321761946953 to 0.2583494776065198 in epoch 8/3000 in training, saving weights
Total loss decreased from 0.2583494776065198 to 0.22180178006845191 in epoch 10/3000 in training, saving weights
Total loss decreased from inf to 1.4142725466332238 in epoch 1/3000 in training, saving weights
Total loss decreased from 1.4142725466332238 to 0.4683934764415137 in epoch 2/3000 in training, saving weights
Total loss decreased from 0.4683934764415137 to 0.3945220269868046 in epoch 3/3000 in training, saving weights
Total loss decreased from inf to 0.3740589787967776 in epoch 3/3000 in validation, saving weights
Total loss decreased from 0.3945220269868046 to 0.31925915941814265 in epoch 4/3000 in training, saving weights
Total loss decreased from 0.31925915941814265 to 0.3167510174668928 in epoch 5/3000 in training, saving weights
Total loss decreased from 0.3167510174668928 to 0.28652776101829613 in epoch 6/3000 in training, saving weights
Total loss decreased from 0.28652776101829613 to 0.27318082024966567 in epoch 7/3000 in training, saving weights
Total loss decreased from 0.27318082024966567 to 0.2552890293338203 in epoch 8/3000 in training, saving weights
Total loss decreased from 0.2552890293338203 to 0.23230502613936677 in epoch 9/3000 in training, saving weights
Total loss decreased from 0.23230502613936677 to 0.19522800014253566 in epoch 11/3000 in training, saving weights
Total loss decreased from 0.19522800014253566 to 0.16125477948090663 in epoch 13/3000 in training, saving weights
Total loss decreased from 0.16125477948090663 to 0.1284890594054371 in epoch 15/3000 in training, saving weights
Total loss decreased from 0.1284890594054371 to 0.12390747428452141 in epoch 16/3000 in training, saving weights
Total loss decreased from 0.12390747428452141 to 0.1119833032974211 in epoch 19/3000 in training, saving weights
Total loss decreased from 0.1119833032974211 to 0.10877711092788536 in epoch 21/3000 in training, saving weights
Total loss decreased from 0.10877711092788536 to 0.10829291328888449 in epoch 22/3000 in training, saving weights
Total loss decreased from 0.3740589787967776 to 0.3525562863001585 in epoch 24/3000 in validation, saving weights
Total loss decreased from 0.10829291328888449 to 0.09698040586463351 in epoch 25/3000 in training, saving weights
Total loss decreased from 0.09698040586463351 to 0.09074747276707923 in epoch 26/3000 in training, saving weights
Total loss decreased from 0.09074747276707923 to 0.08622071306315042 in epoch 27/3000 in training, saving weights
Total loss decreased from 0.08622071306315042 to 0.08181910420184789 in epoch 29/3000 in training, saving weights
Total loss decreased from 0.08181910420184789 to 0.07857597983292214 in epoch 32/3000 in training, saving weights
Total loss decreased from 0.07857597983292214 to 0.07248692901527606 in epoch 34/3000 in training, saving weights
Total loss decreased from 0.07248692901527606 to 0.06492077502980173 in epoch 38/3000 in training, saving weights
Total loss decreased from 0.06492077502980173 to 0.05750839891299841 in epoch 42/3000 in training, saving weights
Total loss decreased from 0.05750839891299841 to 0.05472543919485849 in epoch 50/3000 in training, saving weights
Total loss decreased from 0.05472543919485849 to 0.05465020396608113 in epoch 51/3000 in training, saving weights
Total loss decreased from 0.05465020396608113 to 0.05131732417876926 in epoch 52/3000 in training, saving weights
Total loss decreased from 0.05131732417876926 to 0.045559225897545894 in epoch 59/3000 in training, saving weights
